structure	div	simpson	leaves	minCycle	maxCycle	beatLevel
[[2,2],[2,3],[2,2,3]]	1.000000	0.222222	16	1.6000	5.0000	1
[[2,2],[2,3],[2,3,2]]	1.000000	0.222222	16	1.6000	5.0000	1
[[2,2],[2,3],[3,2,2]]	1.000000	0.222222	16	1.6000	5.0000	1
[[2,2],[3,2,2],[2,3]]	1.000000	0.222222	16	1.6000	5.0000	1
[[2,2],[3,2,2],[3,2]]	1.000000	0.222222	16	1.6000	5.0000	1
[[2,2],[3,2],[2,2,3]]	1.000000	0.222222	16	1.6000	5.0000	1
[[2,2],[3,2],[2,3,2]]	1.000000	0.222222	16	1.6000	5.0000	1
[[2,2],[3,2],[3,2,2]]	1.000000	0.222222	16	1.6000	5.0000	1
[[2,3,2],[2,2],[2,3]]	1.000000	0.222222	16	1.6000	5.0000	1
[[2,3,2],[2,2],[3,2]]	1.000000	0.222222	16	1.6000	5.0000	1
[[2,3,2],[2,3],[2,2]]	1.000000	0.222222	16	1.6000	5.0000	1
[[2,3,2],[3,2],[2,2]]	1.000000	0.222222	16	1.6000	5.0000	1
[[2,3],[2,2,3],[2,2]]	1.000000	0.222222	16	1.6000	5.0000	1
[[2,3],[2,2],[2,2,3]]	1.000000	0.222222	16	1.6000	5.0000	1
[[2,3],[2,2],[2,3,2]]	1.000000	0.222222	16	1.6000	5.0000	1
[[2,3],[2,2],[3,2,2]]	1.000000	0.222222	16	1.6000	5.0000	1
[[2,3],[2,3,2],[2,2]]	1.000000	0.222222	16	1.6000	5.0000	1
[[2,3],[3,2,2],[2,2]]	1.000000	0.222222	16	1.6000	5.0000	1
[[3,2,2],[2,2],[2,3]]	1.000000	0.222222	16	1.6000	5.0000	1
[[3,2,2],[2,2],[3,2]]	1.000000	0.222222	16	1.6000	5.0000	1
[[3,2,2],[2,3],[2,2]]	1.000000	0.222222	16	1.6000	5.0000	1
[[3,2,2],[3,2],[2,2]]	1.000000	0.222222	16	1.6000	5.0000	1
[[3,2],[2,2,3],[2,2]]	1.000000	0.222222	16	1.6000	5.0000	1
[[3,2],[2,2],[2,2,3]]	1.000000	0.222222	16	1.6000	5.0000	1
[[3,2],[2,2],[2,3,2]]	1.000000	0.222222	16	1.6000	5.0000	1
[[3,2],[2,2],[3,2,2]]	1.000000	0.222222	16	1.6000	5.0000	1
[[3,2],[2,3,2],[2,2]]	1.000000	0.222222	16	1.6000	5.0000	1
[[3,2],[3,2,2],[2,2]]	1.000000	0.222222	16	1.6000	5.0000	1
[[2,2,2],[2,2,2]]	0.733879	1.000000	12	1.2000	5.0000	1
[[2,2],[2,2],[2,2]]	0.733879	1.000000	12	1.2000	5.0000	1
[[3,3],[3,3]]	0.733879	1.000000	12	1.2000	5.0000	1
[[2,2,2],[3,3]]	0.733879	0.500000	12	1.2000	5.0000	1
[[3,3],[2,2,2]]	0.733879	0.500000	12	1.2000	5.0000	1
[[2,2],[2,3,3]]	0.733879	0.333333	12	1.2000	5.0000	1
[[2,2],[3,2,3]]	0.733879	0.333333	12	1.2000	5.0000	1
[[2,2],[3,3,2]]	0.733879	0.333333	12	1.2000	5.0000	1
[[2,3,3],[2,2]]	0.733879	0.333333	12	1.2000	5.0000	1
[[3,2,3],[2,2]]	0.733879	0.333333	12	1.2000	5.0000	1
[[3,3,2],[2,2]]	0.733879	0.333333	12	1.2000	5.0000	1
[[2,2,3],[2,3]]	0.733879	0.083333	12	1.2000	5.0000	1
[[2,2,3],[3,2]]	0.733879	0.083333	12	1.2000	5.0000	1
[[2,3,2],[2,3]]	0.733879	0.083333	12	1.2000	5.0000	1
[[2,3,2],[3,2]]	0.733879	0.083333	12	1.2000	5.0000	1
[[2,3],[2,2,3]]	0.733879	0.083333	12	1.2000	5.0000	1
[[2,3],[2,3,2]]	0.733879	0.083333	12	1.2000	5.0000	1
[[2,3],[3,2,2]]	0.733879	0.083333	12	1.2000	5.0000	1
[[3,2,2],[2,3]]	0.733879	0.083333	12	1.2000	5.0000	1
[[3,2,2],[3,2]]	0.733879	0.083333	12	1.2000	5.0000	1
[[3,2],[2,2,3]]	0.733879	0.083333	12	1.2000	5.0000	1
[[3,2],[2,3,2]]	0.733879	0.083333	12	1.2000	5.0000	1
[[3,2],[3,2,2]]	0.733879	0.083333	12	1.2000	5.0000	1
[2,2,2]	0.630930	1.000000	6	1.0000	3.0000	1
[3,3]	0.630930	1.000000	6	1.0000	3.0000	1
[[2,2,2],[2,2,2],[2,2,2]]	0.542422	1.000000	18	1.8000	5.0000	1
[[3,3,3],[3,3,3]]	0.542422	1.000000	18	1.8000	5.0000	1
[[3,3],[3,3],[3,3]]	0.542422	1.000000	18	1.8000	5.0000	1
[[[2,2],[2,3]],[[2,2],[2,3]]]	0.542422	0.625000	18	1.8000	5.0000	2
[[[2,2],[2,3]],[[2,2],[3,2]]]	0.542422	0.625000	18	1.8000	5.0000	2
[[[2,2],[2,3]],[[2,3],[2,2]]]	0.542422	0.625000	18	1.8000	5.0000	2
[[[2,2],[2,3]],[[3,2],[2,2]]]	0.542422	0.625000	18	1.8000	5.0000	2
[[[2,2],[3,2]],[[2,2],[2,3]]]	0.542422	0.625000	18	1.8000	5.0000	2
[[[2,2],[3,2]],[[2,2],[3,2]]]	0.542422	0.625000	18	1.8000	5.0000	2
[[[2,2],[3,2]],[[2,3],[2,2]]]	0.542422	0.625000	18	1.8000	5.0000	2
[[[2,2],[3,2]],[[3,2],[2,2]]]	0.542422	0.625000	18	1.8000	5.0000	2
[[[2,3],[2,2]],[[2,2],[2,3]]]	0.542422	0.625000	18	1.8000	5.0000	2
[[[2,3],[2,2]],[[2,2],[3,2]]]	0.542422	0.625000	18	1.8000	5.0000	2
[[[2,3],[2,2]],[[2,3],[2,2]]]	0.542422	0.625000	18	1.8000	5.0000	2
[[[2,3],[2,2]],[[3,2],[2,2]]]	0.542422	0.625000	18	1.8000	5.0000	2
[[[3,2],[2,2]],[[2,2],[2,3]]]	0.542422	0.625000	18	1.8000	5.0000	2
[[[3,2],[2,2]],[[2,2],[3,2]]]	0.542422	0.625000	18	1.8000	5.0000	2
[[[3,2],[2,2]],[[2,3],[2,2]]]	0.542422	0.625000	18	1.8000	5.0000	2
[[[3,2],[2,2]],[[3,2],[2,2]]]	0.542422	0.625000	18	1.8000	5.0000	2
[[2,2,2],[2,2,2],[3,3]]	0.542422	0.600000	18	1.8000	5.0000	1
[[2,2,2],[3,3],[2,2,2]]	0.542422	0.600000	18	1.8000	5.0000	1
[[2,2,2],[3,3],[3,3]]	0.542422	0.600000	18	1.8000	5.0000	1
[[3,3],[2,2,2],[2,2,2]]	0.542422	0.600000	18	1.8000	5.0000	1
[[3,3],[2,2,2],[3,3]]	0.542422	0.600000	18	1.8000	5.0000	1
[[3,3],[3,3],[2,2,2]]	0.542422	0.600000	18	1.8000	5.0000	1
[[[2,2],[2,2]],[[2,3],[2,3]]]	0.542422	0.500000	18	1.8000	5.0000	2
[[[2,2],[2,2]],[[2,3],[3,2]]]	0.542422	0.500000	18	1.8000	5.0000	2
[[[2,2],[2,2]],[[3,2],[2,3]]]	0.542422	0.500000	18	1.8000	5.0000	2
[[[2,2],[2,2]],[[3,2],[3,2]]]	0.542422	0.500000	18	1.8000	5.0000	2
[[[2,3],[2,3]],[[2,2],[2,2]]]	0.542422	0.500000	18	1.8000	5.0000	2
[[[2,3],[3,2]],[[2,2],[2,2]]]	0.542422	0.500000	18	1.8000	5.0000	2
[[[3,2],[2,3]],[[2,2],[2,2]]]	0.542422	0.500000	18	1.8000	5.0000	2
[[[3,2],[3,2]],[[2,2],[2,2]]]	0.542422	0.500000	18	1.8000	5.0000	2
[[2,2,3],[2,2,3],[2,2]]	0.542422	0.466667	18	1.8000	5.0000	1
[[2,2,3],[2,2],[2,2,3]]	0.542422	0.466667	18	1.8000	5.0000	1
[[2,2,3],[2,2],[2,3,2]]	0.542422	0.466667	18	1.8000	5.0000	1
[[2,2,3],[2,2],[3,2,2]]	0.542422	0.466667	18	1.8000	5.0000	1
[[2,2,3],[2,3,2],[2,2]]	0.542422	0.466667	18	1.8000	5.0000	1
[[2,2,3],[3,2,2],[2,2]]	0.542422	0.466667	18	1.8000	5.0000	1
[[2,2],[2,2,3],[2,2,3]]	0.542422	0.466667	18	1.8000	5.0000	1
[[2,2],[2,2,3],[2,3,2]]	0.542422	0.466667	18	1.8000	5.0000	1
[[2,2],[2,2,3],[3,2,2]]	0.542422	0.466667	18	1.8000	5.0000	1
[[2,2],[2,3,2],[2,2,3]]	0.542422	0.466667	18	1.8000	5.0000	1
